I0731 07:30:47.934262       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:47.934285       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:47.934311       1 session.go:279] Open Session b998d7a8-8b40-4357-8abe-8dca083212fe with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:47.934751       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:47.934773       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:47.934848       1 session.go:577] Close Session b998d7a8-8b40-4357-8abe-8dca083212fe
I0731 07:30:48.935926       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:48.935959       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:48.935975       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:48.935995       1 session.go:279] Open Session 1ec1b02b-a8c2-42c0-ad99-48b1c96c2512 with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:48.936327       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:48.936344       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:48.936390       1 session.go:577] Close Session 1ec1b02b-a8c2-42c0-ad99-48b1c96c2512
I0731 07:30:49.937653       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:49.937698       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:49.937723       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:49.937747       1 session.go:279] Open Session d64408bb-8300-4548-8c05-895c5eb2fabe with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:49.938195       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:49.938219       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:49.938293       1 session.go:577] Close Session d64408bb-8300-4548-8c05-895c5eb2fabe
I0731 07:30:50.939274       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:50.939317       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:50.939341       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:50.939365       1 session.go:279] Open Session 4097d005-0db3-4eb2-86f3-3089f89fe7fb with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:50.939864       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:50.939887       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:50.939957       1 session.go:577] Close Session 4097d005-0db3-4eb2-86f3-3089f89fe7fb
I0731 07:30:51.941388       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:51.941445       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:51.941472       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:51.941497       1 session.go:279] Open Session 8036d8c4-54d5-47a5-b285-c8f4cc13b7e3 with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:51.942065       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:51.942090       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:51.942177       1 session.go:577] Close Session 8036d8c4-54d5-47a5-b285-c8f4cc13b7e3
I0731 07:30:52.943102       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:52.943160       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:52.943188       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:52.943216       1 session.go:279] Open Session 42c2c477-4b36-49f5-8f79-b9f503f78978 with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:52.943738       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:52.943764       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:52.943848       1 session.go:577] Close Session 42c2c477-4b36-49f5-8f79-b9f503f78978
I0731 07:30:53.944906       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:53.944948       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:53.944972       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:53.944997       1 session.go:279] Open Session d039c163-98a6-4962-a379-e138129f80c2 with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:53.945446       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:53.945469       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:53.945552       1 session.go:577] Close Session d039c163-98a6-4962-a379-e138129f80c2
I0731 07:30:54.946588       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:54.946641       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:54.946665       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:54.946689       1 session.go:279] Open Session 3e3b5f4d-5723-46f3-956f-7cc337a93dce with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:54.947178       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:54.947203       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:54.947288       1 session.go:577] Close Session 3e3b5f4d-5723-46f3-956f-7cc337a93dce
I0731 07:30:55.947919       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:55.947971       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:55.947996       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:55.948021       1 session.go:279] Open Session 1018d23f-c09a-4871-aa61-92103926550a with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:55.948482       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:55.948505       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:55.948583       1 session.go:577] Close Session 1018d23f-c09a-4871-aa61-92103926550a
I0731 07:30:56.949303       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:56.949351       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:56.949375       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:56.949399       1 session.go:279] Open Session 8b36a28b-11cd-4e1e-b5b7-00b5f5158416 with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:56.949869       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:56.949891       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:56.949966       1 session.go:577] Close Session 8b36a28b-11cd-4e1e-b5b7-00b5f5158416
I0731 07:30:57.950490       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:57.950521       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:57.950541       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:57.950563       1 session.go:279] Open Session 3f275565-556c-4389-8329-3c4b77cf0a75 with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:57.950968       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:57.950986       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:57.951038       1 session.go:577] Close Session 3f275565-556c-4389-8329-3c4b77cf0a75
I0731 07:30:58.952445       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:58.952495       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:58.952519       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:58.952543       1 session.go:279] Open Session 7088bf58-26af-4243-b278-7bb53622b19f with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:58.952992       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:58.953015       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:58.953096       1 session.go:577] Close Session 7088bf58-26af-4243-b278-7bb53622b19f
I0731 07:30:59.954237       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:59.954287       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:59.954313       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:59.954338       1 session.go:279] Open Session 3eef3e89-40db-4d07-ac8a-d1a4ee737a64 with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:59.954819       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:59.954845       1 allocate.go:138] Try to allocate resource to 0 Queues
